463,3845,4024
1901,2315,4112
1580,1297,4618
143,3903,4233
2226,2273,4768
692,3623,4189
1362,3569,4272
907,348,4103
464,1475,4024
1582,2367,4416
1834,2067,4079
144,1533,4233
2301,3141,4408
693,1253,4189
1363,1199,4272
1043,3202,4054
407,2967,3977
1681,3674,4268
1992,4226,4063
10,1915,4142
2302,771,4408
664,2459,4169
1359,2482,4190
408,597,3977
1044,832,4054
1682,1304,4268
1993,1856,4063
10,4285,4079
2110,2070,4247
665,89,4169
1360,112,4190
336,3153,3962
1078,3013,4039
1534,3311,4243
103,2145,4014
2015,4071,3992
2166,3466,4047
1351,2566,4174
610,4142,4149
337,783,3962
1079,643,4039
273,3300,4011
2016,1701,3992
1535,941,4243
2167,1096,4047
611,1772,4149
1352,196,4174
399,2311,3920
1016,3229,3945
274,930,4011
1748,3382,4085
1890,3221,3977
2120,2633,4035
693,3753,4058
422,3090,3871
43,4150,3953
1451,2766,4154
1017,859,3945
1749,1012,4085
1891,851,3977
2121,263,4035
694,1383,4058
423,720,3871
1452,396,4154
44,1780,3953
922,3236,3933
2009,2099,3940
1512,2864,4052
2259,3440,4027
406,4006,3860
614,2484,4001
1389,2775,4134
158,2085,3840
923,866,3933
1513,494,4052
1968,2131,3938
2260,1070,4027
407,1636,3860
615,114,4001
1390,405,4134
36,2856,3804
1135,3029,3845
1676,3829,4009
1796,2533,3878
2125,2993,4023
430,2236,3847
37,486,3804
659,2550,3966
1390,2101,4071
1136,659,3845
1797,163,3878
1677,1459,4009
2126,623,4023
451,2394,3843
660,180,3966
107,2378,3804
1461,2392,3969
954,3069,3810
1572,3431,3983
2000,4276,3864
2213,2316,3982
14,2700,3800
877,4262,3957
452,24,3843
1462,22,3969
955,699,3810
2001,1906,3864
1573,1061,3983
2082,2029,3954
455,2677,3826
15,330,3800
624,3310,3809
1421,2781,3967
980,3249,3792
1573,3896,3979
2014,4246,3858
2309,3259,3942
456,307,3826
67,2307,3798
625,940,3809
981,879,3792
1422,411,3967
1574,1526,3979
2015,1876,3858
2310,889,3942
160,4214,3777
349,2128,3819
746,2286,3799
1225,4270,3899
1171,2387,3788
1908,2248,3852
1536,3088,3965
2334,2602,3942
371,2539,3806
161,1844,3777
607,3595,3798
1226,1900,3899
1172,17,3788
2039,2353,3848
2335,232,3942
1537,718,3965
10,1952,3774
372,169,3806
608,1225,3798
1449,4120,3898
935,2104,3783
1651,2343,3943
1911,3519,3810
2300,4220,3896
202,4359,3767
514,3366,3801
877,1892,3782
1450,1750,3898
1912,1149,3810
949,2464,3776
1758,3807,3942
2301,1850,3896
203,1989,3767
515,996,3801
623,2921,3775
1296,4161,3884
1759,1437,3942
2034,4019,3808
120,4300,3766
398,2715,3790
950,94,3776
624,551,3775
1297,1791,3884
2035,1649,3808
2294,3592,3887
121,1930,3766
1509,2355,3919
399,345,3790
1010,2919,3750
19,2153,3764
1011,549,3750
180,4228,3761
775,4152,3757
2295,1222,3887
1215,2712,3842
181,1858,3761
1029,4183,3743
389,3582,3748
1960,2388,3784
1753,3924,3869
150,2526,3760
1030,1813,3743
2082,4400,3870
776,1782,3757
1754,1554,3869
151,156,3760
1961,18,3784
390,1212,3748
1216,342,3842
2226,3120,3837
663,3518,3716
1073,3210,3734
1705,4357,3848
1953,3927,3777
664,1148,3716
10,4322,3736
1375,2036,3841
458,4387,3740
747,2243,3714
2227,750,3837
1074,840,3734
1706,1987,3848
1954,1557,3777
789,3013,3709
269,2442,3731
2348,2848,3825
459,2017,3740
1225,2057,3833
947,4266,3726
1668,2948,3793
1943,3434,3764
790,643,3709
270,72,3731
2349,478,3825
948,1896,3726
409,3541,3737
1353,2444,3831
1669,578,3793
669,4131,3699
1944,1064,3764
98,2431,3728
968,3287,3718
1354,74,3831
410,1171,3737
2301,2225,3768
1542,4011,3772
670,1761,3699
1861,2643,3746
99,61,3728
2098,2886,3763
499,2187,3727
969,917,3718
1400,3101,3769
815,4359,3677
1543,1641,3772
172,4152,3718
1862,273,3746
390,2178,3726
2099,516,3763
1116,2075,3706
1401,731,3769
816,1989,3677
1817,3788,3731
1490,96,3760
173,1782,3718
499,2054,3724
2175,2164,3758
1057,3037,3695
1358,4062,3752
1557,2757,3754
109,10,3705
691,2350,3673
1818,1418,3731
2281,2675,3756
327,2617,3718
1058,667,3695
1359,1692,3752
718,2588,3670
206,2922,3699
1558,387,3754
1868,2152,3725
2282,305,3756
328,247,3718
1126,3203,3658
207,552,3699
1426,2572,3734
1839,4291,3713
1594,3404,3751
719,218,3670
376,2483,3712
2255,2375,3748
1127,833,3658
254,3042,3683
1427,202,3734
1595,1034,3751
602,339,3661
1840,1921,3713
377,113,3712
2174,3914,3740
255,672,3683
1131,2956,3658
1374,3394,3733
1716,2118,3751
1812,2610,3673
877,4051,3661
399,4377,3695
2175,1544,3740
1132,586,3658
1375,1024,3733
30,2574,3681
1726,2255,3749
712,2919,3660
1813,240,3673
400,2007,3695
2240,3629,3723
31,204,3681
