754,1633,4459
361,1699,4526
1302,149,5542
3323,744,6361
910,1077,4448
2320,869,4858
4323,1390,4599
2883,1166,5133
1865,499,4157
1505,811,5034
20,1095,4362
2782,769,5103
2270,1779,4788
3805,413,5427
4318,2306,4586
1799,1818,4125
827,934,4438
2226,2273,4768
2932,1756,5027
1628,1223,4992
374,2359,4359
2598,1766,4690
1860,1734,4122
2385,1416,4584
4140,2342,4548
3353,1143,5407
828,476,4358
3237,1622,4800
1462,1863,4742
510,1722,4341
3327,1568,5128
1901,2315,4112
2570,728,4485
880,1892,4336
1283,2235,4699
250,90,4320
2786,1070,4751
4184,2025,4498
734,1235,4335
1749,1012,4085
911,1856,4319
2990,85,4724
371,2013,4319
1460,1990,4671
3436,2100,5114
693,1253,4189
2485,1010,4441
4344,1473,4401
1834,2067,4079
3255,1691,4711
1580,1297,4618
282,786,4240
665,89,4169
2302,771,4408
4237,1180,4392
3379,1041,5019
3077,463,4650
144,1533,4233
1399,1480,4564
1993,1856,4063
2677,513,4402
611,1772,4149
2541,2181,4374
3145,1115,4613
408,1607,4204
1289,1977,4485
2167,1096,4047
2419,342,4354
3972,2039,4309
3755,238,4371
2765,800,4598
594,340,4121
2561,1162,4217
1150,304,4465
2121,263,4035
10,1915,4142
4141,81,4255
3085,1100,4537
3776,1001,4323
593,1222,4103
464,1475,4024
2126,623,4023
2574,690,4163
1190,1772,4433
3943,2221,4221
3032,145,4501
3786,357,4305
907,348,4103
103,2145,4014
1363,1199,4272
2081,2029,4018
2553,418,4065
2807,875,4497
4282,2048,4217
3593,1970,4227
892,25,4059
274,930,4011
2617,2123,4063
1535,941,4243
3281,1185,4482
1677,1459,4009
3909,1776,4178
3377,474,4178
694,1383,4058
408,597,3977
1151,143,4236
2016,1701,3992
2260,1070,4027
3295,808,4480
4092,1006,4135
3327,1920,4106
1044,832,4054
337,783,3962
3249,588,4465
1360,112,4190
2657,1851,4012
4199,1506,4111
1891,851,3977
3629,1231,4090
1079,643,4039
1352,196,4174
3160,1782,4461
44,1780,3953
1759,1437,3942
2696,1019,3986
4378,879,4090
3652,2263,4069
615,114,4001
3124,808,4439
399,2311,3920
1452,396,4154
2714,713,3953
2009,2099,3940
4179,820,4039
2765,1978,4417
423,720,3871
3406,2189,4006
895,1961,3977
1124,744,4135
2473,1958,3949
1968,2131,3938
4389,2194,4029
2857,1233,4390
3485,1475,3980
660,180,3966
407,1636,3860
1390,405,4134
4218,377,4019
2310,889,3942
1797,163,3878
3205,507,4352
3476,274,3942
430,2236,3847
1017,859,3945
1390,2101,4071
4368,1401,3968
3035,2178,4313
1754,1554,3869
2335,232,3942
452,24,3843
3385,167,3924
923,866,3933
1513,494,4052
2446,1682,3933
3907,2179,3933
2871,272,4293
2001,1906,3864
589,824,3916
3636,2120,3917
158,2085,3840
3046,2013,4256
1573,1061,3983
2214,2316,3896
4158,2043,3928
2015,1876,3858
456,307,3826
955,699,3810
3436,1240,3908
2997,2207,4198
1574,1526,3979
3901,1048,3918
2301,1850,3896
1908,2248,3852
625,940,3809
349,2128,3819
3371,2101,3904
1462,22,3969
2846,1139,4193
4009,259,3914
1706,1987,3848
2295,1222,3887
746,2286,3799
372,169,3806
2988,299,4160
3461,1425,3896
1422,411,3967
2451,1277,3877
4292,1560,3911
2039,2353,3848
37,486,3804
